5;Prodi Agroteknologi Jalur IPA
6;Prodi Agroteknologi Jalur PMB Online
7;Prodi Akuntansi Jalur PMDK
8;Prodi Akuntansi Jalur IPS
9;Prodi Akuntansi Jalu PMB Online
10;Prodi D3-Ilmu Keperawatan Jalur PMDK
11;Prodi D3-Ilmu Keperawatan Jalur Fikes (IPA)
12;Prodi D3-Ilmu Keperawatan Jalur PMB Online
13;Prodi D3 Perhotelan Jalur IPS
14;Prodi D3-Perhotelan jalur PMDK
15;Prodi D3-Perhotelan Jalur PMB Online
16;Prodi D3-Ilmu Hukum Jalur IPS
17;Prodi D3-Ilmu Hukum Jalur PMDK
18;Prodi D3-Ilmu Hukum Jalur PMB Online
19;Prodi Ilmu Komunikasi Jalur IPS
20;Prodi Ilmu Komunikasi Jalur PMDK
21;Prodi Ilmu Komunikasi Jalur PMB Online
22;Prodi Ilmu Pemerintahan jalur IPS
23;Prodi Ilmu Pemerintahan Jalur Pmdk
24;Prodi Ilmu Pemerintahan Jalur PMB Online
25;Prodi Manajemen Jalur IPS
26;Prodi Manajemen Jalur PMDK
27;Prodi Manajemen Jalur PMB Online
28;Prodi Manajemen Informatika Jalur IPA
29;Prodi Manajemen Informatika Jalur PMDK
30;Prodi Manajemen Informatika Jalur PMB Online
31;Prodi Pendidikan Agama Islam Jalur IPS
32;Prodi Pendidikan Agama Islam Jalur PMDK
33;Prodi Pendidikan Agama Islam Jalur PMB Online
34;Prodi Pendidikan Sastra Indonesia Jalur IPS
35;Prodi Pendidikan Satra Indonesia Jalur PMDK
36;Prodi Pendidikan Sastra Indonesia Jalur PMB Online
37;Pendidikan Bhs.Inggris Jalur IPS
38;Prodi Pendidikan Bahasa Inggris Jalur PMDK
39;Prodi Pendidikan Bahasa Inggris Jalur PMB Online
40;Prodi Pendidikan Biologi Jalur IPA
41;Prodi Pendidikan Biologi Jalur PMDK
42;Prodi Pendidikan Biologi Jalur PMB Online 
43;Prodi Pend.Guru Pend.Anak Usia Dini Jalur IPS
44;Prodi Pend.Guru Pend.Anak  Usia Dini Jalur PMDK
45;Prodi Pend.Guru Pend.Anak Usia Dini Jalur PMB Online
46;Prodi Pendidikan Matematika Jalur IPA
47;Prodi Pendidikan Matematika Jalur PMDK 
48;Prodi Pendidikan Matematika Jalur PMB Online
49;Prodi PSIKOLOGI Jalur IPS
50;Prodi Psikologi Jalur PMDK
51;Prodi Psikologi Jalur PMB Online
52;Prodi S1-Ilmu Keperawatan Jalur IPA FIKES
53;Prodi S1-Keperawatan Jalur PMDK
54;Prodi S1-Keperawatan Jalur PMDK
55;Prodi Teknik Elektro Jalur Formulir IPA
56;Prodi Teknik Elektro Jalur PMDK
57;Prodi Teknik Elektro Jalur PMB Online
58;Prodi Teknik Informatika Jalur IPA
59;Prodi Teknik Informatika Jalur PMDK
60;Teknik Informatika Jalur PMB Online
61;Prodi Teknik Mesin Jalur  IPA
62;Prodi Teknik Mesin Jalur PMDK
63;Prodi Teknik Mesin Jalur PMB Online
64;Prodi Teknik Sipil Jalur IPA
65;Prodi Teknik Sipil Jalur PMDK
66;Prodi Teknik Sipil Jalur PMB Online
67;Profesi Ners (Jalur Alumni Ners)
68;Prodi Pendidikan Matematika (Jalur IPA)
